dataset,image,mask,modality,iou,choice
BraTS2020,volume_250_slice_40.h5,volume_250_slice_40.h5,modality_3,0.524699,class_2_normal
BraTS2020,volume_262_slice_51.h5,volume_262_slice_51.h5,modality_0,0.011407,class_2_normal
BraTS2020,volume_262_slice_51.h5,volume_262_slice_51.h5,modality_3,0.028596,class_2_normal
BraTS2020,volume_202_slice_102.h5,volume_202_slice_102.h5,modality_0,0.001809,class_2_normal
BraTS2020,volume_202_slice_102.h5,volume_202_slice_102.h5,modality_3,0.200000,class_1_inverted
BraTS2020,volume_186_slice_96.h5,volume_186_slice_96.h5,modality_0,0.078752,class_2_normal
BraTS2020,volume_186_slice_96.h5,volume_186_slice_96.h5,modality_3,0.735326,class_1_inverted
BraTS2020,volume_149_slice_82.h5,volume_149_slice_82.h5,modality_0,0.750712,class_2_normal
BraTS2020,volume_149_slice_82.h5,volume_149_slice_82.h5,modality_3,0.801102,class_2_normal
BraTS2020,volume_205_slice_106.h5,volume_205_slice_106.h5,modality_0,0.020052,class_2_normal
BraTS2020,volume_205_slice_106.h5,volume_205_slice_106.h5,modality_3,0.327138,class_2_normal
BraTS2020,volume_326_slice_87.h5,volume_326_slice_87.h5,modality_0,0.839534,class_1_inverted
BraTS2020,volume_326_slice_87.h5,volume_326_slice_87.h5,modality_3,0.888938,class_1_inverted
BraTS2020,volume_62_slice_70.h5,volume_62_slice_70.h5,modality_0,0.456271,class_2_normal
BraTS2020,volume_62_slice_70.h5,volume_62_slice_70.h5,modality_3,0.545529,class_1_inverted
BraTS2020,volume_366_slice_99.h5,volume_366_slice_99.h5,modality_0,0.730684,class_2_normal
BraTS2020,volume_366_slice_99.h5,volume_366_slice_99.h5,modality_3,0.521148,class_1_inverted
BraTS2020,volume_157_slice_126.h5,volume_157_slice_126.h5,modality_0,0.133333,class_2_normal
BraTS2020,volume_157_slice_126.h5,volume_157_slice_126.h5,modality_3,0.399118,class_2_normal
BraTS2020,volume_7_slice_37.h5,volume_7_slice_37.h5,modality_0,0.333333,class_2_normal
BraTS2020,volume_7_slice_37.h5,volume_7_slice_37.h5,modality_3,0.235294,class_1_normal
BraTS2020,volume_67_slice_124.h5,volume_67_slice_124.h5,modality_0,0.525499,class_2_normal
BraTS2020,volume_67_slice_124.h5,volume_67_slice_124.h5,modality_3,0.488426,class_2_normal
BraTS2020,volume_223_slice_92.h5,volume_223_slice_92.h5,modality_0,0.929795,class_2_normal
BraTS2020,volume_223_slice_92.h5,volume_223_slice_92.h5,modality_3,0.737099,class_2_normal
BraTS2020,volume_251_slice_102.h5,volume_251_slice_102.h5,modality_0,0.825415,class_2_normal
BraTS2020,volume_251_slice_102.h5,volume_251_slice_102.h5,modality_3,0.740275,class_2_normal
BraTS2020,volume_275_slice_52.h5,volume_275_slice_52.h5,modality_0,0.117344,class_2_normal
BraTS2020,volume_275_slice_52.h5,volume_275_slice_52.h5,modality_3,0.775540,class_2_normal
BraTS2020,volume_259_slice_108.h5,volume_259_slice_108.h5,modality_0,0.874502,class_2_normal
BraTS2020,volume_259_slice_108.h5,volume_259_slice_108.h5,modality_3,0.803906,class_2_normal
BraTS2020,volume_143_slice_84.h5,volume_143_slice_84.h5,modality_0,0.837405,class_2_normal
BraTS2020,volume_143_slice_84.h5,volume_143_slice_84.h5,modality_3,0.592765,class_1_inverted
BraTS2020,volume_120_slice_117.h5,volume_120_slice_117.h5,modality_0,0.839375,class_1_inverted
BraTS2020,volume_120_slice_117.h5,volume_120_slice_117.h5,modality_3,0.762184,class_1_inverted
